Date reported,Hospitalized in ICU (daily),"Hospitalized, not in ICU (daily)",Total hospitalizations,Total ICU hospitalizations,ICU rolling avg,Med-surg rolling avg,
13-Apr,74,83,361,146,67.42857143,75.71428571,
14-Apr,75,102,405,155,69,82.28571429,
15-Apr,93,104,445,175,73.14285714,87,
16-Apr,103,110,475,188,78.85714286,91,
17-Apr,106,117,518,202,84.85714286,96.42857143,
18-Apr,111,128,561,215,90.85714286,103.8571429,
19-Apr,116,112,574,226,96.85714286,108,
20-Apr,126,111,602,241,104.2857143,112,
21-Apr,117,120,629,253,110.2857143,114.5714286,
22-Apr,107,133,660,262,112.2857143,118.7142857,
23-Apr,104,164,712,274,112.4285714,126.4285714,
24-Apr,111,167,756,281,113.1428571,133.5714286,
25-Apr,109,179,797,291,112.8571429,140.8571429,
26-Apr,115,170,829,301,112.7142857,149.1428571,
27-Apr,122,170,861,316,112.1428571,157.5714286,
28-Apr,120,194,912,324,112.5714286,168.1428571,
29-Apr,119,201,950,337,114.2857143,177.8571429,
30-Apr,130,235,"1,044",358,118,188,
1-May,118,251,"1,096",380,119,200,
2-May,135,254,"1,159",404,122.7142857,210.7142857,
3-May,155,218,"1,199",426,128.4285714,217.5714286,
4-May,166,230,"1,271",444,134.7142857,226.1428571,
5-May,182,252,"1,350",475,143.5714286,234.4285714,
6-May,180,263,"1,405",488,152.2857143,243.2857143,
7-May,182,253,"1,459",512,159.7142857,245.8571429,
8-May,198,275,"1,549",540,171.1428571,249.2857143,
9-May,180,296,"1,612",556,177.5714286,255.2857143,
10-May,199,235,"1,657",581,183.8571429,257.7142857,
11-May,194,258,"1,716",600,187.8571429,261.7142857,
12-May,199,297,"1,799",625,190.2857143,268.1428571,
13-May,199,295,"1,851",647,193,272.7142857,
14-May,203,295,"1,915",663,196,278.7142857,
15-May,200,298,"1,985",679,196.2857143,282,
16-May,225,268,"2,039",700,202.7142857,278,
17-May,221,266,"2,090",716,205.8571429,282.4285714,
18-May,229,259,"2,128",731,210.8571429,282.5714286,
19-May,229,316,"2,221",750,215.1428571,285.2857143,
20-May,212,338,"2,308",773,217,291.4285714,
21-May,229,337,"2,380",787,220.7142857,297.4285714,
22-May,233,301,"2,432",806,225.4285714,297.8571429,
23-May,215,353,"2,534",832,224,310,
24-May,207,346,"2,588",841,222,321.4285714,
25-May,248,357,"2,676",869,224.7142857,335.4285714,
26-May,258,312,"2,709",886,228.8571429,334.8571429,
27-May,260,338,"2,796",902,235.7142857,334.8571429,
28-May,242,364,"2,880",924,237.5714286,338.7142857,
29-May,259,333,"2,936",938,241.2857143,343.2857143,
30-May,263,326,"3,011",960,248.1428571,339.4285714,
31-May,257,298,"3,047",971,255.2857143,332.5714286,
1-Jun,253,296,"3,086",981,256,323.8571429,
2-Jun,248,289,"3,134","1,003",254.5714286,320.5714286,
3-Jun,254,283,"3,203","1,022",253.7142857,312.7142857,
4-Jun,244,268,"3,253","1,033",254,299,
5-Jun,220,258,"3,289","1,044",248.4285714,288.2857143,
6-Jun,206,267,"3,336","1,044",240.2857143,279.8571429,
7-Jun,199,251,"3,367","1,043",232,273.1428571,
8-Jun,198,254,"3,401","1,052",224.1428571,267.1428571,
9-Jun,199,256,"3,441","1,068",217.1428571,262.4285714,
10-Jun,193,234,"3,482","1,083",208.4285714,255.4285714,
11-Jun,196,215,"3,522","1,091",201.5714286,247.8571429,
12-Jun,191,212,"3,557","1,093",197.4285714,241.2857143,
13-Jun,191,199,"3,581","1,104",195.2857143,231.5714286,
14-Jun,186,183,"3,610","1,110",193.4285714,221.8571429,
15-Jun,186,167,"3,630","1,121",191.7142857,209.4285714,
16-Jun,185,172,"3,658","1,128",189.7142857,197.4285714,
17-Jun,181,170,"3,689","1,136",188,188.2857143,
18-Jun,171,174,"3,718","1,144",184.4285714,182.4285714,
19-Jun,168,171,"3,748","1,150",181.1428571,176.5714286,
20-Jun,161,163,"3,767","1,155",176.8571429,171.4285714,
21-Jun,160,162,"3,797","1,163",173.1428571,168.4285714,
22-Jun,156,176,"3,830","1,180",168.8571429,169.7142857,
23-Jun,158,181,"3,860","1,191",165,171,
24-Jun,160,180,"3,897","1,203",162,172.4285714,
25-Jun,162,174,"3,943","1,218",160.7142857,172.4285714,
26-Jun,157,178,"3,966","1,221",159.1428571,173.4285714,
27-Jun,155,145,"3,986","1,233",158.2857143,170.8571429,
28-Jun,143,145,"4,010","1,241",155.8571429,168.4285714,
29-Jun,140,138,"4,031","1,249",153.5714286,163,
30-Jun,136,134,"4,054","1,258",150.4285714,156.2857143,
1-Jul,125,135,"4,081","1,258",145.4285714,149.8571429,
2-Jul,123,151,"4,112","1,266",139.8571429,146.5714286,
3-Jul,132,138,"4,139","1,277",136.2857143,140.8571429,
4-Jul,-,-,"4,139","1,277",133.1666667,140.1666667,
5-Jul,132,121,"4,170","1,287",131.3333333,136.1666667,
6-Jul,125,133,"4,219","1,290",128.8333333,135.3333333,
7-Jul,121,146,"4,252","1,295",126.3333333,137.3333333,
8-Jul,122,143,"4,272","1,302",125.8333333,138.6666667,
9-Jul,116,135,"4,305","1,312",124.6666667,136,
10-Jul,124,103,"4,329","1,320",123.3333333,130.1666667,
11-Jul,121,120,"4,366","1,325",123,128.7142857,
12-Jul,123,128,"4,399","1,335",121.7142857,129.7142857,
13-Jul,114,133,"4,424","1,338",120.1428571,129.7142857,
14-Jul,107,129,"4,452","1,348",118.1428571,127.2857143,
15-Jul,106,148,"4,495","1,353",115.8571429,128,
16-Jul,103,146,"4,526","1,357",114,129.5714286,
17-Jul,110,142,"4,563","1,369",112,135.1428571,
18-Jul,117,148,"4,602","1,377",111.4285714,139.1428571,
19-Jul,120,138,"4,627","1,389",111,140.5714286,
20-Jul,115,132,"4,678","1,397",111.1428571,140.4285714,
21-Jul,112,154,"4,723","1,412",111.8571429,144,
22-Jul,119,154,"4,771","1,423",113.7142857,144.8571429,
23-Jul,107,175,"4,818","1,431",114.2857143,149,
24-Jul,108,170,"4,852","1,437",114,153,
25-Jul,115,172,"4,889","1,440",113.7142857,156.4285714,
26-Jul,115,158,"4,920","1,448",113,159.2857143,
27-Jul,126,131,"4,961","1,458",114.5714286,159.1428571,
28-Jul,138,156,"5,028","1,474",118.2857143,159.4285714,
29-Jul,143,167,"5,077","1,484",121.7142857,161.2857143,
30-Jul,141,157,"5,112","1,490",126.5714286,158.7142857,
31-Jul,151,161,"5,155","1,510",132.7142857,157.4285714,
1-Aug,149,168,"5,208","1,520",137.5714286,156.8571429,
2-Aug,149,153,"5,241","1,532",142.4285714,156.1428571,
3-Aug,153,149,"5,298","1,545",146.2857143,158.7142857,
